Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,Log_MonthlyIncome
50,0,989,7,2,2,43,2,5,3,16701,5,12,3,4,1,29,2,2,27,3,13,8,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9.838468916161679
59,0,1435,25,3,1,99,3,3,1,2354,7,11,3,4,0,28,3,2,21,16,7,9,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8.940891067785461
36,0,1223,8,3,3,59,3,3,3,8202,1,13,3,2,3,17,2,3,17,14,12,8,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.219993629004321
55,0,836,8,3,4,33,3,4,3,19730,2,14,3,3,3,21,2,3,5,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9.59947282546345
36,0,1195,11,3,2,95,2,2,2,22656,1,13,3,3,0,6,3,3,6,5,0,3,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,8.779557455883728
45,0,1339,7,3,2,59,3,3,1,18787,2,17,3,3,1,25,2,3,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9.182455168486648
35,0,664,1,3,2,79,3,1,1,5868,4,13,3,4,1,5,2,2,3,2,1,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,7.693937325509272
36,1,318,9,3,4,79,2,1,3,21777,0,17,3,1,1,2,0,2,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,8.128290171607052
59,0,1225,1,1,1,57,2,2,3,24668,7,11,3,4,0,20,2,2,4,3,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8.607764889600624
29,0,1328,2,3,3,76,3,1,2,4956,0,23,4,4,1,6,3,3,5,4,0,4,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,7.902487437162855
31,0,1082,1,4,3,87,3,1,2,18775,1,17,3,2,0,1,4,3,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7.824845691026856
32,0,548,1,3,2,66,3,2,2,7346,1,17,3,2,2,10,3,3,10,4,0,9,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,8.73568594451502
36,0,132,6,3,2,55,4,1,4,22002,3,12,3,2,0,5,3,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8.019283792916793
31,0,746,8,4,3,61,3,2,4,20682,1,23,4,4,0,11,2,3,11,7,1,8,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8.39502555744203
35,0,776,1,4,3,32,2,2,1,23016,0,14,3,2,0,16,2,3,15,13,2,8,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,8.369388996647842
45,0,193,6,4,4,52,3,3,1,15067,4,14,3,2,0,17,3,4,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,9.491450899044924
37,0,397,7,4,1,30,3,3,3,25258,4,13,3,1,0,16,3,4,5,2,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,9.522593098362169
46,0,945,5,2,2,80,3,2,2,10425,8,22,4,4,1,16,2,3,4,2,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,8.52158353971753
30,0,852,1,1,4,55,2,2,4,15998,1,12,3,3,2,10,1,2,10,8,3,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,8.5422759717837
35,0,1214,1,3,2,30,2,1,3,26278,1,18,3,1,0,6,3,3,6,4,0,4,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7.958576903813898
55,0,111,1,2,1,70,3,3,4,18092,3,14,3,4,1,24,4,3,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,9.234056898593499
38,0,573,6,3,2,79,1,2,4,15717,7,12,3,4,3,17,3,3,13,11,1,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8.58110651715989
34,0,1153,1,2,1,94,3,2,2,17736,1,15,3,3,0,5,2,3,5,2,1,3,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,8.372398606513004
56,0,1400,7,3,4,49,1,3,4,21698,4,11,3,1,0,37,3,2,6,4,0,2,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,8.890272839380247
23,0,541,2,1,3,62,3,1,1,9518,3,13,3,3,1,3,3,3,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,7.750614732770409
51,0,432,9,4,4,96,3,1,4,18725,3,23,4,2,2,10,4,3,4,2,0,3,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,7.638198244285779
30,0,288,2,3,3,99,2,2,4,15830,1,19,3,1,3,11,3,3,11,10,10,8,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8.331586243630754
46,1,669,9,2,3,64,2,3,4,13596,1,16,3,4,0,9,3,3,9,8,4,7,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,9.171599543659752
40,0,530,1,4,3,78,2,4,2,14115,1,22,4,4,1,22,3,2,22,3,11,11,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9.510741216835738
51,0,632,21,4,3,71,3,2,4,8423,0,22,4,4,0,11,2,1,10,7,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,8.601901919343192
30,0,1334,4,2,3,63,2,2,2,19760,1,12,3,2,3,11,4,2,11,8,2,7,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8.558335134747413
46,0,638,1,3,3,40,2,3,1,3142,2,13,3,3,1,21,5,2,10,9,9,5,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,9.27556615689389
32,0,1093,6,4,2,87,3,2,3,24301,1,16,3,1,0,12,0,3,11,8,5,7,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,8.519390774959724
54,0,1217,2,4,1,60,3,3,3,24001,9,12,3,1,1,16,5,1,4,3,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,9.514141826307847
24,0,1353,3,2,1,33,3,2,3,17519,0,21,4,1,1,4,2,2,3,2,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,8.517193191416238
28,0,120,4,3,2,43,3,2,3,8863,1,15,3,2,0,5,3,4,5,4,0,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,8.348064228408266
58,0,682,10,4,4,37,3,4,3,24409,0,13,3,3,0,38,1,2,37,10,1,8,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,9.537699784080726
44,0,489,23,3,2,67,3,2,2,25043,4,12,3,3,1,17,3,4,3,2,1,2,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,7.622174594817622
37,1,807,6,4,3,63,3,1,1,23648,4,22,4,4,0,7,3,3,3,2,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,7.637234388789473
32,0,827,1,1,4,71,3,1,1,15178,1,13,3,4,0,1,2,3,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7.9919305198524775
20,1,871,6,3,4,66,2,1,4,19783,1,18,3,2,0,1,5,3,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,7.9817332866918855
34,0,665,6,4,1,41,3,2,3,12482,1,14,3,3,0,16,3,3,16,13,2,10,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,8.478452363099807
37,0,1040,2,2,3,100,2,2,4,15850,5,14,3,4,1,17,2,4,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.549466751966532
59,0,1420,2,4,3,32,2,5,4,21922,9,21,4,4,1,30,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9.844002905701236
50,0,1115,1,3,1,73,3,5,2,9755,3,19,3,1,0,28,1,2,8,3,0,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,9.807692255081262
25,1,240,5,3,3,46,2,2,3,26959,1,11,3,4,0,6,1,3,6,4,0,3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,8.656085190282855
25,0,1280,7,1,4,64,2,1,4,26897,1,11,3,3,2,2,2,3,2,2,2,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,7.969011781106478
22,0,534,15,3,2,59,3,1,4,23785,1,15,3,3,0,1,5,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7.962763930168115
51,0,1456,1,4,1,30,2,3,1,25796,3,20,4,3,0,23,1,2,13,12,12,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.920656296853728
34,1,658,7,3,1,66,1,2,3,22887,1,24,4,4,0,9,3,3,9,7,0,6,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,8.711937268208748
54,0,142,26,3,4,30,4,4,4,13871,2,12,3,3,0,23,3,3,5,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,9.760136677640245
24,0,1127,18,1,2,52,3,1,3,13257,0,12,3,3,1,6,2,3,5,3,1,2,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,7.928406026180535
34,0,1031,6,4,3,45,2,2,2,15000,6,15,3,3,1,12,3,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.41316512099219
37,0,1189,3,3,3,87,3,3,4,14506,2,12,3,1,0,12,3,3,5,3,1,3,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,8.913146539151807
34,0,1354,5,3,3,45,2,3,1,5615,2,12,3,4,0,14,6,3,11,10,5,8,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9.3615151997733
36,0,1467,11,2,2,92,3,3,4,22952,0,14,3,3,1,10,6,3,9,7,2,8,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,9.1838937219612
36,0,922,3,2,1,39,3,1,4,2561,5,22,4,1,1,7,2,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.950149887652018
43,0,394,26,2,3,92,3,4,4,19494,1,12,3,4,2,25,3,4,25,12,4,12,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,9.738612909345894
30,0,1312,23,3,1,96,1,1,3,22310,1,25,4,3,3,10,2,2,10,7,0,9,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7.868636894184167
33,0,750,22,2,3,95,3,2,2,15480,0,13,3,1,1,8,2,4,7,7,0,7,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,8.72371943690701
56,1,441,14,4,2,72,3,1,2,4510,9,18,3,1,3,7,2,3,5,4,4,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,8.509967146324497
51,0,684,6,3,1,51,3,5,3,6462,7,13,3,3,0,23,5,3,20,18,15,15,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,9.880116566212887
31,1,249,6,4,2,76,1,2,3,20739,4,18,3,2,0,12,3,2,7,7,7,7,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,8.727940222393896
26,0,841,6,3,3,46,2,1,2,23300,1,19,3,3,0,5,3,2,5,4,4,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,7.7702232041587855
58,1,147,23,4,4,94,3,3,4,3465,1,12,3,4,1,40,3,2,40,10,15,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.24116051431607
19,1,528,22,1,4,50,3,1,3,26820,1,19,3,4,0,0,2,2,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,7.424165281042028
22,0,594,2,1,3,100,3,1,4,19299,0,14,3,3,1,3,2,3,2,1,2,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,7.8336002236611035
49,0,470,20,4,3,96,3,2,1,5549,1,14,3,3,0,16,2,2,15,11,5,11,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8.789964651132264
43,0,957,28,3,2,72,4,1,3,16090,4,12,3,4,0,18,2,3,3,2,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8.463792414689122
50,0,809,12,3,3,77,3,3,4,6645,4,11,3,4,0,16,3,3,2,2,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9.127936545721367
31,1,542,20,3,2,71,1,2,3,24788,3,11,3,3,1,4,2,3,2,2,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,8.425077902508432
41,0,802,9,1,3,96,3,3,3,21196,3,13,3,3,1,12,2,3,9,7,0,7,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,9.010669176847115
