Attrition,Age,MonthlyIncome,DistanceFromHome,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,YearsSinceLastPromotion,NumCompaniesWorked,JobLevel,JobInvolvement,JobSatisfaction,PerformanceRating,StockOptionLevel,JobRole,OverTime,BusinessTravel,Department,MaritalStatus,EducationField
No,34,11994,7,13,12,6,11,2,0,3,3,2,3,0,Research Director,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,21,1232,15,0,0,0,0,0,1,1,3,4,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Life Sciences
Yes,34,2960,6,8,4,2,3,1,2,1,3,1,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Medical
No,53,19094,5,26,14,13,8,4,4,5,3,3,3,1,Manager,No,Travel_Rarely,Research & Development,Divorced,Other
Yes,32,3919,16,10,10,2,7,6,1,1,1,1,4,0,Research Scientist,Yes,Travel_Frequently,Research & Development,Single,Life Sciences
No,42,6825,8,10,9,7,2,4,0,2,3,2,3,1,Sales Executive,No,Travel_Rarely,Sales,Married,Marketing
No,44,10248,7,24,22,6,17,5,3,3,2,4,3,1,Healthcare Representative,No,Travel_Rarely,Research & Development,Married,Medical
No,46,18947,2,22,2,2,1,2,3,5,3,1,3,0,Manager,No,Travel_Rarely,Sales,Single,Marketing
No,33,2496,2,7,1,1,0,0,4,1,3,4,3,0,Laboratory Technician,No,Travel_Rarely,Research & Development,Single,Medical
No,44,6465,10,9,4,2,3,1,2,2,3,4,3,0,Healthcare Representative,Yes,Travel_Rarely,Research & Development,Married,Other
No,30,2206,9,10,10,0,8,1,1,1,2,3,3,0,Laboratory Technician,No,Travel_Rarely,Research & Development,Single,Medical
Yes,39,2086,5,19,1,0,0,0,3,2,3,4,3,1,Sales Representative,No,Travel_Rarely,Sales,Married,Technical Degree
Yes,24,2293,1,6,2,0,0,2,2,1,3,4,3,1,Research Scientist,Yes,Travel_Rarely,Research & Development,Married,Medical
No,43,2645,2,6,5,3,4,1,1,1,4,3,3,2,Research Scientist,No,Travel_Rarely,Research & Development,Divorced,Medical
Yes,50,2683,3,3,3,2,2,0,1,1,2,3,3,0,Sales Representative,Yes,Travel_Rarely,Sales,Married,Marketing
No,35,2014,2,2,2,2,2,2,1,1,3,4,3,0,Sales Representative,No,Travel_Rarely,Sales,Married,Marketing
No,36,3419,5,6,1,1,0,0,9,1,2,1,3,1,Research Scientist,Yes,Travel_Rarely,Research & Development,Married,Life Sciences
No,33,5376,1,10,5,3,3,1,2,2,4,1,3,2,Sales Executive,No,Travel_Frequently,Sales,Married,Life Sciences
No,35,1951,4,1,1,0,0,0,1,1,3,4,3,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Divorced,Other
No,27,2341,2,1,1,0,0,0,1,1,3,1,3,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
Yes,26,2293,25,1,1,0,1,0,1,1,1,3,3,0,Laboratory Technician,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,27,8726,8,9,9,8,7,1,1,3,3,3,3,0,Sales Executive,No,Travel_Frequently,Sales,Single,Life Sciences
No,30,4011,1,12,12,8,7,3,1,2,3,4,4,0,Laboratory Technician,No,Travel_Frequently,Research & Development,Single,Medical
Yes,41,19545,12,23,22,15,8,15,1,5,3,3,3,0,Research Director,No,Travel_Rarely,Research & Development,Married,Technical Degree
No,34,4568,23,10,9,5,7,8,0,2,3,3,4,0,Sales Executive,No,Non-Travel,Sales,Single,Marketing
No,37,3022,19,8,1,0,0,0,4,1,3,2,4,0,Research Scientist,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,46,5772,5,14,9,6,8,0,4,2,3,4,4,0,Sales Executive,Yes,Travel_Frequently,Sales,Single,Marketing
No,35,2269,8,1,1,0,1,0,1,1,4,4,3,0,Laboratory Technician,No,Travel_Rarely,Research & Development,Married,Life Sciences
Yes,48,5381,1,23,1,0,0,0,9,3,2,3,3,0,Laboratory Technician,Yes,Travel_Rarely,Research & Development,Single,Life Sciences
Yes,28,3441,5,2,2,2,2,2,1,1,3,3,3,0,Laboratory Technician,Yes,Travel_Rarely,Research & Development,Single,Technical Degree
No,44,5454,1,9,4,3,3,1,5,2,3,1,4,1,Sales Executive,Yes,Travel_Rarely,Sales,Divorced,Marketing
No,35,9884,11,10,4,0,3,2,2,3,2,1,3,1,Healthcare Representative,Yes,Non-Travel,Research & Development,Married,Medical
No,26,4157,23,5,2,2,0,0,7,2,2,4,3,1,Sales Executive,Yes,Travel_Rarely,Sales,Married,Marketing
No,33,13458,1,15,15,14,12,8,1,3,3,4,3,0,Research Director,Yes,Travel_Frequently,Research & Development,Single,Life Sciences
No,35,9069,18,9,9,8,8,1,1,3,3,1,4,1,Sales Executive,No,Travel_Frequently,Sales,Married,Life Sciences
No,35,4014,23,4,2,2,2,2,3,1,3,1,3,1,Laboratory Technician,Yes,Travel_Rarely,Research & Development,Married,Medical
No,31,5915,7,10,7,7,7,1,3,2,3,4,4,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,37,5993,1,7,7,5,7,0,1,2,2,3,3,1,Manufacturing Director,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,32,6162,1,9,9,8,8,7,1,2,3,4,4,1,Manufacturing Director,Yes,Travel_Rarely,Research & Development,Married,Medical
No,38,2406,29,10,10,3,9,9,1,2,3,4,3,0,Laboratory Technician,No,Travel_Frequently,Research & Development,Single,Life Sciences
No,50,18740,7,29,27,3,8,13,5,5,2,3,3,1,Research Director,Yes,Travel_Rarely,Research & Development,Divorced,Medical
No,59,7637,25,28,21,16,9,7,7,3,3,1,3,0,Sales Executive,No,Travel_Rarely,Sales,Single,Life Sciences
No,36,10096,8,17,17,14,8,12,1,3,3,3,3,3,Healthcare Representative,No,Travel_Rarely,Research & Development,Divorced,Technical Degree
No,55,14756,8,21,5,0,2,0,2,4,3,3,3,3,Manager,Yes,Travel_Rarely,Research & Development,Divorced,Medical
No,36,6499,11,6,6,5,3,0,1,2,2,2,3,0,Manufacturing Director,No,Travel_Frequently,Research & Development,Single,Life Sciences
No,45,9724,7,25,1,0,0,0,2,3,3,1,3,1,Research Scientist,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,35,2194,1,5,3,2,2,1,4,1,3,1,3,1,Research Scientist,No,Travel_Frequently,Research & Development,Married,Medical
Yes,36,3388,9,2,1,0,0,0,0,1,2,3,3,1,Research Scientist,Yes,Travel_Rarely,Research & Development,Married,Medical
No,59,5473,1,20,4,3,3,1,7,2,2,3,3,0,Sales Executive,No,Travel_Frequently,Sales,Single,Life Sciences
No,29,2703,2,6,5,4,4,0,0,1,3,2,4,1,Research Scientist,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,31,2501,1,1,1,1,0,1,1,1,3,2,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Medical
No,32,6220,1,10,10,4,9,0,1,2,3,2,3,2,Research Scientist,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,36,3038,6,5,1,0,0,0,3,1,4,4,3,0,Laboratory Technician,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,31,4424,8,11,11,7,8,1,1,2,3,4,4,0,Manufacturing Director,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,35,4312,1,16,15,13,8,2,0,2,2,1,3,0,Sales Executive,No,Travel_Rarely,Sales,Single,Marketing
No,45,13245,6,17,0,0,0,0,4,3,3,1,3,0,Research Director,Yes,Travel_Rarely,Research & Development,Married,Other
No,37,13664,7,16,5,2,2,0,4,3,3,3,3,0,Research Director,No,Travel_Rarely,Research & Development,Single,Medical
No,46,5021,5,16,4,2,2,0,8,2,3,2,4,1,Human Resources,Yes,Travel_Rarely,Human Resources,Divorced,Medical
No,30,5126,1,10,10,8,0,3,1,2,2,4,3,2,Laboratory Technician,Yes,Travel_Rarely,Research & Development,Married,Life Sciences
No,35,2859,1,6,6,4,4,0,1,1,2,3,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Medical
No,55,10239,1,24,1,0,0,1,3,3,3,4,3,1,Sales Executive,No,Travel_Rarely,Sales,Married,Life Sciences
No,38,5329,6,17,13,11,9,1,7,2,1,4,3,3,Research Scientist,Yes,Non-Travel,Research & Development,Divorced,Medical
No,34,4325,1,5,5,2,3,1,1,2,3,2,3,0,Manufacturing Director,No,Travel_Rarely,Research & Development,Married,Medical
No,56,7260,7,37,6,4,2,0,4,3,1,4,3,0,Manufacturing Director,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,23,2322,2,3,0,0,0,0,3,1,3,1,3,1,Sales Representative,No,Travel_Rarely,Sales,Divorced,Technical Degree
No,51,2075,9,10,4,2,3,0,3,1,3,4,4,2,Laboratory Technician,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,30,4152,2,11,11,10,8,10,1,2,2,4,3,3,Healthcare Representative,No,Travel_Rarely,Research & Development,Married,Life Sciences
Yes,46,9619,9,9,9,8,7,4,1,3,2,4,3,0,Sales Executive,No,Travel_Rarely,Sales,Single,Medical
No,40,13503,1,22,22,3,11,11,1,4,2,2,4,1,Healthcare Representative,No,Travel_Frequently,Research & Development,Married,Life Sciences
No,51,5441,21,11,10,7,0,1,0,2,3,4,4,0,Sales Executive,Yes,Travel_Rarely,Sales,Single,Marketing
No,30,5209,4,11,11,8,7,2,1,2,2,2,3,3,Sales Executive,Yes,Travel_Rarely,Sales,Divorced,Medical
No,46,10673,1,21,10,9,5,9,2,3,2,1,3,1,Healthcare Representative,Yes,Travel_Frequently,Research & Development,Married,Medical
No,32,5010,6,12,11,8,7,5,1,2,3,3,3,0,Sales Executive,No,Travel_Rarely,Sales,Single,Medical
No,54,13549,2,16,4,3,3,0,9,3,3,3,3,1,Research Director,No,Travel_Rarely,Research & Development,Married,Technical Degree
No,24,4999,3,4,3,2,2,0,0,2,3,3,4,1,Sales Executive,No,Travel_Rarely,Sales,Married,Other
No,28,4221,4,5,5,4,4,0,1,2,3,3,3,0,Sales Executive,No,Non-Travel,Sales,Married,Medical
No,58,13872,10,38,37,10,8,1,0,4,3,3,3,0,Sales Executive,No,Travel_Rarely,Sales,Single,Medical
No,44,2042,23,17,3,2,2,1,4,2,3,2,3,1,Laboratory Technician,No,Non-Travel,Research & Development,Married,Medical
Yes,37,2073,6,7,3,2,2,0,4,1,3,1,4,0,Human Resources,Yes,Travel_Rarely,Human Resources,Divorced,Human Resources
No,32,2956,1,1,1,0,0,0,1,1,3,1,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Life Sciences
Yes,20,2926,6,1,1,0,0,1,1,1,2,4,3,0,Laboratory Technician,Yes,Travel_Frequently,Research & Development,Single,Life Sciences
No,34,4809,6,16,16,13,10,2,1,2,3,3,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Other
No,37,5163,2,17,1,0,0,0,5,2,2,4,3,1,Healthcare Representative,No,Non-Travel,Research & Development,Divorced,Life Sciences
No,59,18844,2,30,3,2,2,2,9,5,2,4,4,1,Manager,No,Non-Travel,Human Resources,Married,Human Resources
No,50,18172,1,28,8,3,7,0,3,5,3,2,3,0,Research Director,Yes,Travel_Frequently,Research & Development,Married,Life Sciences
Yes,25,5744,5,6,6,4,3,0,1,2,2,3,3,0,Sales Executive,Yes,Travel_Rarely,Sales,Single,Marketing
No,25,2889,7,2,2,2,1,2,1,1,2,4,3,2,Research Scientist,No,Travel_Rarely,Research & Development,Married,Medical
No,22,2871,15,1,0,0,0,0,1,1,3,4,3,0,Laboratory Technician,No,Travel_Rarely,Research & Development,Single,Medical
No,51,7484,1,23,13,12,8,12,3,3,2,1,4,0,Healthcare Representative,No,Travel_Frequently,Research & Development,Single,Medical
Yes,34,6074,7,9,9,7,6,0,1,2,1,3,4,0,Laboratory Technician,Yes,Travel_Frequently,Research & Development,Single,Life Sciences
No,54,17328,26,23,5,3,4,4,2,4,4,4,3,0,Manager,Yes,Non-Travel,Human Resources,Single,Human Resources
No,24,2774,18,6,5,3,2,1,0,1,3,3,3,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,34,4505,6,12,1,0,0,0,6,2,2,2,3,1,Research Scientist,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,37,7428,3,12,5,3,3,1,2,3,3,4,3,0,Sales Executive,No,Travel_Rarely,Sales,Single,Life Sciences
No,34,11631,5,14,11,10,8,5,2,3,2,1,3,0,Manager,No,Travel_Rarely,Research & Development,Single,Medical
No,36,9738,11,10,9,7,8,2,0,3,3,4,3,1,Sales Executive,No,Travel_Frequently,Sales,Married,Technical Degree
No,36,2835,3,7,1,0,0,0,5,1,3,4,4,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,43,16959,26,25,25,12,12,4,1,4,3,4,3,2,Manager,Yes,Travel_Frequently,Sales,Married,Life Sciences
No,30,2613,23,10,10,7,9,0,1,1,1,3,4,3,Research Scientist,No,Travel_Frequently,Research & Development,Divorced,Life Sciences
No,33,6146,22,8,7,7,7,0,0,2,3,2,3,1,Sales Executive,No,Non-Travel,Sales,Married,Marketing
Yes,56,4963,14,7,5,4,3,4,9,1,3,2,3,3,Research Scientist,Yes,Travel_Rarely,Research & Development,Married,Life Sciences
No,51,19537,6,23,20,18,15,15,7,5,3,3,3,0,Research Director,No,Travel_Rarely,Research & Development,Single,Life Sciences
Yes,31,6172,6,12,7,7,7,7,4,2,1,3,3,0,Sales Executive,Yes,Travel_Rarely,Sales,Married,Life Sciences
No,26,2368,6,5,5,4,3,4,1,1,2,2,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Married,Other
Yes,58,10312,23,40,40,10,6,15,1,3,3,4,3,1,Healthcare Representative,No,Travel_Rarely,Research & Development,Married,Medical
Yes,19,1675,22,0,0,0,0,0,1,1,3,3,3,0,Sales Representative,Yes,Travel_Rarely,Sales,Single,Marketing
No,22,2523,2,3,2,1,1,2,0,1,3,4,3,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Married,Technical Degree
No,49,6567,20,16,15,11,11,5,1,2,3,1,3,0,Manufacturing Director,No,Travel_Rarely,Research & Development,Married,Medical
No,43,4739,28,18,3,2,2,1,4,1,4,3,3,0,Research Scientist,No,Travel_Frequently,Research & Development,Single,Medical
No,50,9208,12,16,2,2,1,2,4,3,3,4,3,0,Sales Executive,No,Travel_Frequently,Sales,Single,Marketing
Yes,31,4559,20,4,2,2,2,2,3,2,1,3,3,1,Sales Executive,Yes,Travel_Rarely,Sales,Married,Life Sciences
No,41,8189,9,12,9,7,7,0,3,3,3,3,3,1,Sales Executive,Yes,Travel_Rarely,Sales,Divorced,Life Sciences
No,26,2942,25,8,8,7,7,5,1,1,3,3,4,1,Human Resources,No,Travel_Rarely,Human Resources,Married,Life Sciences
No,36,4941,6,7,3,2,1,0,6,2,3,2,4,2,Manufacturing Director,No,Travel_Rarely,Research & Development,Divorced,Medical
Yes,51,10650,8,18,4,2,3,0,2,3,1,4,3,0,Manufacturing Director,No,Travel_Frequently,Research & Development,Single,Life Sciences
No,39,5902,4,17,15,11,9,5,4,2,2,3,3,1,Sales Executive,No,Travel_Rarely,Sales,Married,Life Sciences
No,25,8639,28,6,2,2,2,2,2,2,2,3,3,0,Sales Executive,No,Travel_Rarely,Sales,Married,Life Sciences
No,30,6347,9,12,11,9,7,4,0,2,3,4,3,0,Human Resources,Yes,Travel_Rarely,Human Resources,Married,Human Resources
Yes,32,4200,9,10,5,4,4,0,7,1,3,1,4,0,Laboratory Technician,No,Travel_Rarely,Research & Development,Single,Medical
No,45,3452,29,9,6,5,3,0,5,1,3,4,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Medical
No,38,4317,3,19,3,2,2,2,3,2,3,3,4,0,Research Scientist,Yes,Travel_Rarely,Research & Development,Single,Technical Degree
No,30,2632,18,5,5,4,4,0,1,1,3,3,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,32,4668,9,9,8,7,7,0,0,2,1,4,3,3,Sales Executive,No,Travel_Frequently,Sales,Divorced,Medical
No,30,3204,5,8,3,2,2,2,5,1,3,1,3,1,Research Scientist,No,Travel_Rarely,Research & Development,Divorced,Technical Degree
No,30,2720,2,6,5,3,2,1,0,1,2,4,3,0,Laboratory Technician,No,Travel_Rarely,Research & Development,Single,Medical
No,41,17181,10,21,7,6,7,7,4,4,2,1,3,1,Manager,No,Travel_Frequently,Research & Development,Divorced,Life Sciences
No,41,2238,9,7,5,0,4,1,2,1,3,1,4,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,19,1483,3,1,1,0,0,0,1,1,3,2,3,0,Laboratory Technician,No,Travel_Rarely,Research & Development,Single,Medical
No,40,5605,26,20,20,7,13,2,1,2,3,2,3,1,Research Scientist,No,Travel_Frequently,Research & Development,Divorced,Medical
No,35,7295,1,10,10,8,6,0,1,3,3,2,3,2,Sales Executive,No,Travel_Rarely,Sales,Married,Marketing
No,53,2306,6,13,7,7,5,4,2,2,3,3,4,1,Sales Representative,Yes,Travel_Rarely,Sales,Married,Marketing
No,45,2348,9,20,17,9,15,0,8,2,3,2,3,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,32,8998,8,9,9,8,7,3,1,3,3,4,3,0,Sales Executive,No,Travel_Frequently,Sales,Single,Marketing
No,29,4319,1,10,10,7,9,0,1,2,3,3,3,1,Manufacturing Director,No,Non-Travel,Research & Development,Married,Technical Degree
No,51,6132,7,10,1,0,0,0,2,2,2,3,3,0,Manufacturing Director,No,Travel_Rarely,Research & Development,Married,Medical
No,58,3346,9,9,1,0,0,0,4,1,2,2,4,1,Research Scientist,Yes,Travel_Rarely,Research & Development,Married,Medical
No,40,10855,4,15,12,11,11,2,7,3,2,4,3,1,Sales Executive,No,Travel_Rarely,Sales,Married,Marketing
No,34,2231,2,6,4,3,2,1,6,1,3,3,3,1,Sales Representative,No,Travel_Frequently,Sales,Married,Marketing
No,22,2323,19,2,2,2,2,2,1,1,3,4,4,2,Research Scientist,No,Travel_Rarely,Research & Development,Married,Medical
No,27,2024,9,6,2,2,2,2,6,1,3,2,3,1,Research Scientist,No,Non-Travel,Research & Development,Divorced,Medical
No,28,2713,21,5,5,2,2,0,1,1,3,4,3,1,Research Scientist,No,Travel_Rarely,Research & Development,Married,Medical
No,57,9439,24,12,5,3,4,1,3,3,4,4,3,1,Healthcare Representative,Yes,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,27,2566,3,1,1,1,1,0,1,1,2,3,3,1,Research Scientist,Yes,Non-Travel,Research & Development,Divorced,Medical
No,50,19926,11,21,5,4,4,4,3,5,3,2,3,0,Manager,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,41,2451,14,13,9,8,8,1,4,1,3,3,3,1,Research Scientist,No,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,30,9419,5,12,10,9,4,7,2,3,3,4,3,1,Sales Executive,No,Travel_Rarely,Sales,Married,Life Sciences
No,38,8686,1,12,8,3,7,0,4,2,2,4,4,0,Sales Executive,No,Travel_Rarely,Sales,Single,Life Sciences
No,32,3038,6,8,5,4,4,1,3,1,3,3,4,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,27,3058,17,6,5,2,1,1,0,1,3,2,3,1,Research Scientist,Yes,Travel_Rarely,Research & Development,Married,Technical Degree
Yes,19,2325,1,1,0,0,0,0,0,1,1,1,4,0,Sales Representative,No,Travel_Frequently,Sales,Single,Technical Degree
No,36,2088,3,13,8,7,2,7,4,1,3,2,3,0,Laboratory Technician,No,Travel_Frequently,Research & Development,Single,Medical
No,30,3072,9,12,12,9,10,6,1,2,3,1,3,2,Laboratory Technician,No,Non-Travel,Research & Development,Divorced,Medical
No,45,5006,4,9,5,4,3,0,4,2,3,1,3,1,Sales Executive,Yes,Travel_Rarely,Sales,Divorced,Life Sciences
No,56,4257,8,19,2,2,2,2,4,1,3,1,3,1,Research Scientist,Yes,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,33,2500,2,4,3,1,2,0,0,1,3,4,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Life Sciences
Yes,19,1102,2,1,1,0,0,1,1,1,2,4,4,0,Laboratory Technician,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,46,10453,1,24,24,13,7,15,1,3,3,1,4,3,Sales Executive,No,Travel_Rarely,Sales,Divorced,Marketing
No,38,2288,9,2,2,2,1,2,1,1,3,4,3,0,Laboratory Technician,No,Travel_Rarely,Research & Development,Single,Life Sciences
No,31,3929,12,7,4,2,2,0,8,1,3,4,4,1,Research Scientist,Yes,Travel_Rarely,Research & Development,Married,Medical
No,34,2311,27,9,3,2,2,1,2,1,3,2,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Medical
Yes,41,3140,20,4,4,3,2,0,1,1,3,2,4,0,Sales Representative,Yes,Travel_Rarely,Sales,Single,Marketing
No,50,3690,1,5,3,2,2,0,2,1,2,3,3,1,Laboratory Technician,No,Travel_Rarely,Research & Development,Married,Medical
No,53,4450,13,5,4,2,3,1,1,2,4,1,3,2,Manufacturing Director,No,Travel_Rarely,Research & Development,Divorced,Medical
No,33,2756,14,8,8,7,6,1,1,1,3,2,3,1,Research Scientist,No,Travel_Rarely,Research & Development,Married,Medical
No,40,19033,4,21,20,8,9,9,1,5,3,3,3,1,Manager,No,Travel_Rarely,Research & Development,Married,Medical
No,55,18722,14,36,24,15,15,2,8,5,4,2,3,0,Research Director,No,Travel_Rarely,Research & Development,Single,Medical
No,34,9547,2,10,10,9,9,1,1,2,2,3,3,0,Manufacturing Director,No,Travel_Frequently,Research & Development,Married,Life Sciences
No,51,13734,3,21,7,7,0,1,3,4,3,2,3,0,Healthcare Representative,No,Travel_Rarely,Research & Development,Single,Medical
No,52,19999,1,34,33,18,9,11,0,5,2,3,3,1,Manager,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,27,2279,9,7,7,7,3,0,1,1,3,2,3,0,Research Scientist,No,Travel_Rarely,Research & Development,Single,Medical
Yes,35,5916,23,8,1,0,1,0,3,2,2,3,3,0,Manufacturing Director,Yes,Travel_Rarely,Research & Development,Married,Life Sciences
No,43,2089,7,7,5,4,2,2,4,1,4,4,3,3,Research Scientist,No,Non-Travel,Research & Development,Divorced,Medical
No,45,16792,2,22,20,8,8,11,9,4,2,4,4,1,Manager,No,Non-Travel,Research & Development,Married,Medical
No,37,3564,21,8,8,7,7,1,1,1,4,1,3,1,Research Scientist,Yes,Travel_Rarely,Research & Development,Married,Life Sciences
No,35,4425,2,10,6,2,2,1,5,2,3,2,3,0,Laboratory Technician,No,Travel_Frequently,Research & Development,Single,Medical
No,42,5265,21,11,5,3,2,0,2,2,3,3,3,1,Manufacturing Director,No,Non-Travel,Research & Development,Divorced,Medical
No,38,6553,2,14,1,0,0,0,9,2,3,3,3,0,Manufacturing Director,No,Travel_Rarely,Research & Development,Married,Life Sciences
No,38,6261,29,9,7,7,7,1,3,2,3,4,3,1,Manufacturing Director,No,Travel_Rarely,Research & Development,Married,Technical Degree
No,27,4298,1,6,2,2,0,2,5,2,2,1,3,1,Manufacturing Director,No,Travel_Frequently,Research & Development,Married,Technical Degree
No,49,6804,18,7,7,7,7,1,1,2,3,4,3,2,Manufacturing Director,Yes,Non-Travel,Research & Development,Divorced,Life Sciences
No,34,3815,10,5,5,3,0,2,1,1,3,3,3,1,Research Scientist,Yes,Travel_Frequently,Research & Development,Divorced,Medical
No,40,2741,19,15,7,2,7,3,8,2,3,4,3,1,Laboratory Technician,Yes,Travel_Rarely,Research & Development,Married,Medical
Yes,38,6673,29,17,1,0,0,0,7,2,3,1,3,0,Healthcare Representative,Yes,Travel_Rarely,Research & Development,Married,Medical
Yes,29,7639,27,10,10,4,9,1,1,3,3,4,4,3,Sales Executive,No,Travel_Rarely,Sales,Married,Marketing
No,22,2328,5,4,4,2,2,2,1,1,4,2,3,1,Research Scientist,Yes,Travel_Rarely,Research & Development,Divorced,Life Sciences
No,36,2153,18,8,8,1,7,1,1,1,3,4,3,0,Laboratory Technician,No,Travel_Frequently,Research & Development,Single,Medical
No,40,4876,9,5,3,2,2,0,9,2,2,4,3,1,Healthcare Representative,No,Non-Travel,Research & Development,Married,Life Sciences
No,46,9396,1,17,4,2,3,0,7,3,3,1,3,1,Healthcare Representative,No,Travel_Rarely,Research & Development,Divorced,Medical
Yes,32,10400,4,14,14,8,8,9,1,3,1,4,3,0,Sales Executive,No,Travel_Rarely,Sales,Married,Medical
